t_dress,t_poly,t_cot,sleeves,j_light,j_fleece,j_down,shorts,p_thin,p_thick,p_fleece,p_down,temp,sun,headwind,snow,rain,fatigued,hr,feels
0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,90,0
0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,140,1
0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,168,2
0,0,1,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,85,2
0,0,1,0,0,0,0,1,0,0,0,0,16,1,1,0,0,0,90,1
0,0,1,0,0,0,0,1,0,0,0,0,21,1,1,0,0,0,90,1
0,0,1,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,90,2
0,0,1,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,90,1
0,0,1,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,112,3
0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,85,0
0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,95,1
