upr_clo,lwr_clo,temp,sun,headwind,snow,rain,fatigued,hr,feels
0.79,0.94,-17,0,0,0,0,0,90,0
0.79,0.94,-12,0,0,1,0,0,130,0
0.08,0.23,-12,0,0,0,0,0,80,0
0.08,0.23,-12,0,0,0,0,0,80,0
0.78,0.93,-12,0,0,0,0,0,80,0
0.08,0.23,-11,0,0,0,0,0,80,0
0.08,0.23,-10,0,0,0,0,0,80,0
0.08,0.23,-9,0,0,1,0,0,95,0
0.05,0.15,-7,0,0,0,0,0,80,0
0.08,0.23,-7,0,0,0,0,0,80,0
0.08,0.23,-6,0,0,0,0,0,80,0
0.08,0.23,-6,0,0,0,0,0,80,0
0.79,0.85,-4,0,0,0,0,1,90,0
0.08,0.23,-1,0,0,0,0,0,80,0
0.08,0.23,2,0,0,0,1,0,80,0
0.08,0.23,4,1,0,0,0,0,80,0
0.09,0.24,6,0,0,0,0,0,80,0
0.08,0.23,9,0,0,0,0,0,80,0
0.08,0.14,13,0,1,0,0,0,80,0
0.08,0.88,-19,0,1,0,0,0,160,1
0.08,0.23,-19,0,0,0,0,0,0,1
1.48,1.63,-18,0,0,0,0,0,80,1
0.79,0.94,-17,0,0,0,0,0,150,1
1.48,2.53,-17,0,0,0,0,0,80,1
0.09,0.33,-17,1,0,0,0,0,0,1
0.09,0.33,-17,1,1,0,0,0,0,1
0.98,1.22,-16,0,0,0,0,0,0,1
0.99,1.23,-15,1,0,0,0,0,0,1
0.79,0.94,-14,0,1,1,0,0,112,1
0.98,1.78,-14,0,1,0,0,0,0,1
0.08,0.23,-14,0,1,0,0,0,0,1
0.08,0.23,-12,0,0,0,0,0,120,1
0.08,0.23,-12,0,0,0,0,0,130,1
0.08,0.88,-12,1,1,0,0,0,110,1
0.78,0.93,-12,0,0,0,0,0,100,1
1.48,2.53,-12,0,0,0,0,0,80,1
0.09,0.89,-12,1,0,0,0,0,0,1
0.08,0.88,-11,1,1,0,0,0,0,1
0.08,0.88,-11,0,1,0,0,0,0,1
0.08,0.88,-11,0,0,0,0,0,0,1
0.08,0.23,-10,0,0,0,0,0,130,1
0.08,0.32,-10,1,0,0,0,0,0,1
0.79,0.94,-10,0,0,0,0,0,0,1
0.08,0.23,-10,0,1,0,0,0,0,1
0.78,0.93,-9,0,0,1,0,0,95,1
0.98,1.84,-9,0,0,0,0,0,0,1
0.08,0.23,-8,0,1,0,0,0,110,1
0.99,1.14,-8,1,0,0,0,0,80,1
0.58,1.63,-8,0,0,0,0,0,80,1
0.05,0.15,-7,0,1,0,0,0,130,1
0.08,0.23,-7,0,0,0,0,0,120,1
0.08,0.23,-7,0,1,0,0,0,90,1
0.99,1.79,-7,0,1,0,0,0,0,1
0.08,0.23,-6,0,0,0,0,0,120,1
0.08,0.23,-6,0,0,0,0,0,120,1
0.08,0.23,-6,1,0,0,0,0,0,1
0.08,0.88,-6,0,1,0,0,0,0,1
0.08,0.23,-5,0,0,0,0,0,96,1
0.79,1.59,-5,0,0,0,0,0,105,1
0.08,0.23,-4,0,1,1,0,0,115,1
0.78,0.93,-4,0,0,0,0,0,90,1
0.08,1.13,-4,0,0,0,0,0,95,1
0.08,0.14,-4,0,0,0,0,0,0,1
0.09,0.89,-4,1,0,0,0,0,0,1
0.09,0.89,-4,0,0,0,0,0,0,1
0.08,0.88,-4,0,0,0,0,0,0,1
0.08,0.88,-4,1,0,0,0,0,0,1
0.08,0.23,-3,1,0,0,0,0,0,1
0.09,0.89,-2,1,1,0,0,0,100,1
0.09,0.89,-2,0,1,0,0,0,130,1
0.09,0.24,-2,1,0,0,0,0,0,1
0.08,0.88,-2,0,0,0,0,0,0,1
0.99,1.79,-2,0,0,0,0,0,0,1
0.09,0.15,-1,0,1,0,0,0,100,1
0.08,0.88,-1,0,0,0,0,0,0,1
0.98,1.78,-1,0,0,0,0,0,0,1
